ID,sexo,año,pob
02001,Mujer,2009,222566
02001,Mujer,2010,226676
02001,Mujer,2011,229905
02001,Mujer,2012,233253
02001,Mujer,2013,236596
02001,Mujer,2014,239944
02001,Mujer,2015,243459
02002,Hombre,1990,300830
02002,Hombre,1991,308860
02002,Hombre,1992,316923
02002,Hombre,1993,324976
02002,Hombre,1994,333032
02002,Hombre,1995,341082
02002,Hombre,1996,349131
02002,Hombre,1997,357189
02002,Hombre,1998,365240
02002,Hombre,1999,373301
02002,Hombre,2000,381422
02002,Hombre,2001,390393
02002,Hombre,2002,399423
02002,Hombre,2003,408464
02002,Hombre,2004,417494
02002,Hombre,2005,426540
02002,Hombre,2006,434014
02002,Hombre,2007,441580
02002,Hombre,2008,449142
02002,Hombre,2009,456708
02002,Hombre,2010,464272
02002,Hombre,2011,469538
02002,Hombre,2012,474837
02002,Hombre,2013,480135
02002,Hombre,2014,485434
02002,Hombre,2015,490894
02002,Mujer,1990,303630
02002,Mujer,1991,311127
02002,Mujer,1992,318743
02002,Mujer,1993,326349
02002,Mujer,1994,333959
02002,Mujer,1995,341566
02002,Mujer,1996,349174
02002,Mujer,1997,356787
02002,Mujer,1998,364390
02002,Mujer,1999,372003
02002,Mujer,2000,379747
02002,Mujer,2001,388923
02002,Mujer,2002,398133
02002,Mujer,2003,407347
02002,Mujer,2004,416557
02002,Mujer,2005,425920
02002,Mujer,2006,434185
02002,Mujer,2007,442555
02002,Mujer,2008,450927
02002,Mujer,2009,459297
02002,Mujer,2010,467729
02002,Mujer,2011,473629
02002,Mujer,2012,479551
02002,Mujer,2013,485471
02002,Mujer,2014,491393
02002,Mujer,2015,497523
02003,Hombre,1990,25980
02003,Hombre,1991,27324
02003,Hombre,1992,28727
02003,Hombre,1993,30124
02003,Hombre,1994,31529
02003,Hombre,1995,32931
02003,Hombre,1996,34333
02003,Hombre,1997,35734
02003,Hombre,1998,37135
02003,Hombre,1999,38542
02003,Hombre,2000,40172
02003,Hombre,2001,40787
02003,Hombre,2002,41423
02003,Hombre,2003,42061
02003,Hombre,2004,42697
02003,Hombre,2005,43410
02003,Hombre,2006,44333
02003,Hombre,2007,45274
02003,Hombre,2008,46220
02003,Hombre,2009,47161
02003,Hombre,2010,48140
02003,Hombre,2011,48757
02003,Hombre,2012,49365
02003,Hombre,2013,49980
02003,Hombre,2014,50588
02003,Hombre,2015,51267
02003,Mujer,1990,24800
02003,Mujer,1991,25945
02003,Mujer,1992,27137
02003,Mujer,1993,28336
02003,Mujer,1994,29532
02003,Mujer,1995,30738
02003,Mujer,1996,31946
02003,Mujer,1997,33141
02003,Mujer,1998,34341
02003,Mujer,1999,35534
02003,Mujer,2000,36839
02003,Mujer,2001,37891
02003,Mujer,2002,39004
02003,Mujer,2003,40097
02003,Mujer,2004,41210
02003,Mujer,2005,42580
02003,Mujer,2006,43515
02003,Mujer,2007,44508
02003,Mujer,2008,45497
02003,Mujer,2009,46490
02003,Mujer,2010,47498
02003,Mujer,2011,48174
02003,Mujer,2012,48899
02003,Mujer,2013,49622
02003,Mujer,2014,50347
02003,Mujer,2015,51139
02004,Hombre,1990,372860
02004,Hombre,1991,396454
02004,Hombre,1992,420064
02004,Hombre,1993,443692
02004,Hombre,1994,467310
02004,Hombre,1995,490930
02004,Hombre,1996,514550
02004,Hombre,1997,538167
02004,Hombre,1998,561796
02004,Hombre,1999,585407
02004,Hombre,2000,609076
02004,Hombre,2001,627481
02004,Hombre,2002,645963
02004,Hombre,2003,664447
02004,Hombre,2004,682929
02004,Hombre,2005,701480
02004,Hombre,2006,715065
02004,Hombre,2007,728747
02004,Hombre,2008,742445
02004,Hombre,2009,756127
02004,Hombre,2010,769836
02004,Hombre,2011,779196
02004,Hombre,2012,788559
02004,Hombre,2013,797919
02004,Hombre,2014,807282
02004,Hombre,2015,816738
02004,Mujer,1990,374140
02004,Mujer,1991,396487
02004,Mujer,1992,418850
02004,Mujer,1993,441223
02004,Mujer,1994,463600
02004,Mujer,1995,485966
02004,Mujer,1996,508337
02004,Mujer,1997,530708
02004,Mujer,1998,553087
02004,Mujer,1999,575456
02004,Mujer,2000,597969
02004,Mujer,2001,619297
02004,Mujer,2002,640757
02004,Mujer,2003,662230
02004,Mujer,2004,683690
02004,Mujer,2005,705230
02004,Mujer,2006,718865
02004,Mujer,2007,732594
02004,Mujer,2008,746322
02004,Mujer,2009,760051
02004,Mujer,2010,773808
02004,Mujer,2011,783975
02004,Mujer,2012,794172
02004,Mujer,2013,804383
02004,Mujer,2014,814580
02004,Mujer,2015,824832
02005,Hombre,1990,0
02005,Hombre,1991,0
02005,Hombre,1992,0
02005,Hombre,1993,0
02005,Hombre,1994,0
02005,Hombre,1995,0
02005,Hombre,1996,0
02005,Hombre,1997,0
02005,Hombre,1998,0
02005,Hombre,1999,0
02005,Hombre,2000,31850
02005,Hombre,2001,33007
02005,Hombre,2002,34164
02005,Hombre,2003,35326
02005,Hombre,2004,36483
02005,Hombre,2005,37930
02005,Hombre,2006,39691
02005,Hombre,2007,41544
02005,Hombre,2008,43398
02005,Hombre,2009,45251
02005,Hombre,2010,47182
02005,Hombre,2011,47350
